prj_id,prj_title,prj_code,prj_year_approved,prj_type,prj_status_name,province,city_name,sector,prj_cost_setup,prj_cost_gia,prj_cost_rollout,prj_cost_benefactor,prj_cost_other,num_coop,more_coop
16,Product Storage and Handling Capability Building of Carm Foods Enterprises through The DOST-SET-UP Program.,14-4A-01--01-0027,2014,SETUP,Graduated,Cavite,Rosario,Food Processing,1995500,0,0,887296,0,1,only one
19,Production Operation Improvement of Center Miki Factory through Fabrication of Steamer and Dryer,14-4A-05-01-0020,2014,SETUP,Terminated,Quezon,Lucban,Food Processing,990000,0,0,0,0,1,only one
20,"Installation of a CNC Lathe Machine for Metal Fabrication of CVC Precision Toolings, Inc.",14-2135-04-06-1,2013,SETUP,Graduated,Rizal,Angono,Metals & Engineering,3250000,0,0,0,0,1,only one
21,Enhancement of the Production Capacity and Packaging of Miguel Rafael Gabriel Food Products through the Acquisition of Modern Production Equipment,14-2148-04-01-1,2014,SETUP,On-going,Cavite,Imus,Food Processing,1493000,0,0,0,0,1,only one
22,Automation of Polvoron Processing Line of Double Delights Food Products,14-2147-04-01-1,2014,SETUP,Terminated,Rizal,Antipolo City,Food Processing,1913592,0,0,300000,0,1,only one
23,"Upgrading of the Production Capabilities of El Richard Bakery in Rodriguez, Rizal through Equipment Modernization",14-2148-04-01-1,2014,SETUP,Graduated,Rizal,Rodriguez (Montalban),Food Processing,1690000,0,0,300000,0,1,only one
24,Production Improvement and Equipment Upgrading for Pasciolco Agri Ventures,14-4A-05-01-0022,2014,SETUP,Graduated,Quezon,Tiaong,Food Processing,894000,0,0,620000,0,1,only one
25,Processing and Product Quality Improvement of R.R. Magcawas Iron Works and Services,14-2146-04-06-1,2014,SETUP,Graduated,Batangas,San Jose,Metals & Engineering,1300000,0,0,0,0,1,only one
26,Productivity Improvement through Upgrading of Milling and Turning Processes of Blairwin Technology,14-4A-02-05-0001,2014,SETUP,Graduated,Laguna,San Pablo,Metals & Engineering,910000,0,0,500000,0,1,only one
27,Mechanization of Pulburon Molding Process for Chocovron Global Corporation,14-4A-02-01-0006,2014,SETUP,Graduated,Laguna,San Pedro,Food Processing,1825600,0,0,600000,0,1,only one
28,Improvement of Drying Process in the Production of Dried Pili Nuts and other Dried Fruits,14-4A-02-01-0007,2014,SETUP,Terminated,Laguna,City of Biñan,Food Processing,628060,0,0,1073776,0,1,only one
29,Upgrading of Cooking Process of Reyson&#039;s Food Processing,14-4A-02-01-0008,2014,SETUP,Graduated,Laguna,Calauan,Food Processing,448000,0,0,1300000,0,1,only one
30,Packaging and Labeling Improvement of Taliba Soap Manufacturing Products,14-4A-03-03-0003,2014,SETUP,Graduated,Batangas,San Luis,Health & Wellness Products,150000,0,0,20000,0,1,only one
31,"Upgrading of Muscovado Mill in Balayan, Batangas",14-2167-04-04-1,2014,SETUP,Terminated,Batangas,Balayan,Food Processing,2330000,0,0,0,0,1,only one
32,"Upgrading of the Production Capabilities of Mardak Global Export, Inc. in Montalban, Rizal through Equipment Modernization",14-4A-04-01-0017,2014,SETUP,Graduated,Rizal,Rodriguez (Montalban),Food Processing,2124500,0,0,300000,0,1,only one
33,Process and Product Improvement of Virgin Coconut Oil (VCO) for JP Melchor Trading,14-4A-05-01-0021,2014,SETUP,Terminated,Quezon,Mauban,Food Processing,1440000,0,0,505000,0,1,only one
34,Technology Upgrading of Meat Processing of Pam&#039;s Chicken Mart,14-4A-05-01-0023,2014,SETUP,Terminated,Quezon,Lucena City,Food Processing,1345100,0,0,0,0,1,only one
35,Mechanization and Upgrading of Processes in the Production of Pilipit and Turones for Golden Arrow Food Enterprise,14-4A-02-01-0009,2014,SETUP,Graduated,Laguna,Liliw,Food Processing,1016960,0,0,2500000,0,1,only one
36,Enhancement of the Production and Storage Capability of Fish2Go Corporation,14-4A-01-01-0024,2014,SETUP,Graduated,Cavite,Dasmariñas,Food Processing,1640506,0,0,0,0,1,only one
37,Improvement of the Production Capability of Oddiebelle Food Products through Equipment Acquisition and Product Quality Analysis,14-4A-01-01-0025,2014,SETUP,Terminated,Cavite,Dasmariñas,Food Processing,104980,0,0,0,0,1,only one
38,Increasing the Production Output and Capability of Supersystem Tooling and Metalfab Inc. through the acquisition of Bending Machine,14-4A-01-05-0026,2014,SETUP,Terminated,Cavite,Carmona,Metals & Engineering,3000000,0,0,4341000,0,1,only one
40,Biogas System Facility for Proper Farm Waste Disposal and Source of Renewable  Energy  for JFarm Agri Enterprise,14-4A-03-04-0016,2014,SETUP,Graduated,Batangas,Rosario,Agriculture / Marine / Aquaculture / Forestry / Livestock,403979,0,0,53000,0,1,only one
41,"Productivity and Quality Improvement through New Equipment of Angel&#039;s Mate Enterprises in Cainta, Rizal",14-4A-04-01-0018,2014,SETUP,Terminated,Rizal,Antipolo City,Gifts / Decors / Handicrafts,465000,0,0,0,0,1,only one
42,Productivity Upgrading of Turning Process of LG Lopez,14-4A-02-05-0010,2014,SETUP,Graduated,Laguna,Calamba,Metals & Engineering,1980000,0,0,600000,0,1,only one
43,Enhancing Capability of VN Industrial Tooling Services through Upgrading the Shearing and Bending Processes,14-4A-02-05-0011,2014,SETUP,On-going,Laguna,Calamba,Metals & Engineering,2000000,0,0,1500000,0,1,only one
44,"Productivity Upgrading of Surface Grinding, Cutting Processes and Improvement of Dimensional Checking of PROV 3",14-4A-02-05-0012,2014,SETUP,Completed,Laguna,Santa Rosa,Metals & Engineering,1084480,0,0,500000,0,1,only one
45,Upgrading of the Processing Facility of Biofarm and Natural Health Ingredients Company,14-4A-03-01-0013,2014,SETUP,Graduated,Batangas,Tanauan City,Food Processing,1123000,0,0,0,0,1,only one
